,iterationsNumber,seriousStepNumber,objectiveValue,objectiveValueBar,bestObjectiveValue,bestcertifiedObjectiveValue,mainObjective,delta,gradnorm,mu,mbundle,minEigenvalue,qpTime,oracleTime,bmTime,gramTime,concaTime,num_cuts
68,68,5,2447398.905433654,2447730.4446025616,2447730.4446025616,2447730.444600088,2448279.703027873,189.4289914178662,10.029630619625541,4.673298684224481,0.01,-880.7975942188325,6.54926609992981,0.4002981185913086,0.020816326141357422,0.023558855056762695,-0.0444493293762207,5852
69,69,5,2447485.379902625,2447730.4446025616,2447730.4446025616,2447730.444600088,2448665.5159464125,587.4143313616514,9.128967649372266,4.673298684224481,0.01,-1180.1360437874655,11.723113298416138,0.40740156173706055,0.0212247371673584,0.023447751998901367,-0.04405713081359863,5865
70,70,5,2446865.7885202095,2447730.4446025616,2447730.4446025616,2447730.444600088,2449112.4812788446,1125.519319883082,15.161956593220374,4.906963618435705,0.01,-2246.6927586352635,11.798290967941284,0.4011502265930176,0.022189617156982422,0.023287057876586914,-0.044655799865722656,5891
71,71,5,2447683.8635453884,2447730.4446025616,2447730.4446025616,2447730.444600088,2448233.595376588,574.4183238074183,10.597452690461106,4.906963618435705,0.01,-549.7318311995535,11.882304668426514,0.4007556438446045,0.02731776237487793,0.023816823959350586,-0.04439115524291992,6098
72,72,5,2447709.5635785614,2447730.4446025616,2447730.4446025616,2447730.444600088,2448643.751098084,364.65863381000236,8.817274870638885,4.906963618435705,0.01,-934.1875195225565,6.89467978477478,0.4010636806488037,0.03063344955444336,0.024855613708496094,-0.046114206314086914,6420
73,73,5,2447325.9703556993,2447730.4446025616,2447730.4446025616,2447730.444600088,2448391.891854,730.2905246983282,8.934861819517328,4.906963618435705,0.01,-1065.9214983007178,6.866722583770752,0.4027390480041504,0.02116990089416504,0.02617168426513672,-0.04840230941772461,6421
74,74,5,2447657.9046637914,2447730.4446025616,2447730.4446025616,2447730.444600088,2448551.374932759,145.25906065199524,8.429170417928079,4.906963618435705,0.01,-893.4702689676268,2.842376470565796,0.4140176773071289,0.020911693572998047,0.026480913162231445,-0.04849958419799805,6422
75,75,5,2447536.651740399,2447730.4446025616,2447730.4446025616,2447730.444600088,2448791.98676781,1792.8382025943138,10.296833024837914,5.15231179935749,0.01,-1255.3350274104514,1.560622215270996,0.39929819107055664,0.03299736976623535,0.027317047119140625,-0.05069613456726074,6815
76,76,6,2447928.2807276165,2447928.2807276165,2447928.2807276165,2447928.2807251713,2448502.8312575934,651.4413761035539,8.422627885018601,5.15231179935749,0.01,-574.5505299768786,7.136097431182861,0.399031400680542,0.03237628936767578,0.029156208038330078,-0.05122995376586914,6537
77,77,6,2325971.3642169633,2447928.2807276165,2447928.2807276165,2447928.2807251713,2448588.6004055366,210.86749968025833,8.697583537025317,5.15231179935749,0.01,-122617.23618857311,1.4835615158081055,0.40087437629699707,0.02069878578186035,0.024428129196166992,-0.04943370819091797,6539
78,78,6,2417387.8655420747,2447928.2807276165,2447928.2807276165,2447928.2807251713,2448482.8776401617,337.4639494661242,8.216305402411468,5.15231179935749,0.01,-31095.01209808705,6.794950246810913,0.3992040157318115,0.020544767379760742,0.024863004684448242,-0.04931783676147461,6541
79,79,6,2442644.1671860013,2447928.2807276165,2447928.2807276165,2447928.2807251713,2448410.1954332963,763.5966630107723,8.384114271886661,5.15231179935749,0.01,-5766.028247295174,2.8006391525268555,0.40187549591064453,0.0214385986328125,0.024979829788208008,-0.048844337463378906,6543
80,80,6,2447278.344891287,2447928.2807276165,2447928.2807276165,2447928.2807251713,2448265.3185495175,346.4380236142315,9.682619220191437,5.15231179935749,0.01,-986.9736582307313,5.6780524253845215,0.40535449981689453,0.020933866500854492,0.024740219116210938,-0.04916667938232422,6546
81,81,6,2447815.436096292,2447928.2807276165,2447928.2807276165,2447928.2807251713,2448429.7576365434,143.41146594006568,8.06338427459276,5.15231179935749,0.01,-614.3215402515347,6.79391622543335,0.39843153953552246,0.020700931549072266,0.025105953216552734,-0.049866437911987305,6551
82,82,6,2447876.6563244583,2447928.2807276165,2447928.2807276165,2447928.2807251713,2448526.6823810735,127.09069415926933,7.83232849795545,5.4099273893253645,0.01,-650.0260566152522,7.132438659667969,0.4045896530151367,0.02185821533203125,0.024491548538208008,-0.04943704605102539,6559
83,83,6,2447863.08171793,2447928.2807276165,2447928.2807276165,2447928.2807251713,2448584.6656856877,18.59021889604628,8.013983966023506,5.4099273893253645,0.01,-721.5839677576752,4.295224189758301,0.39754533767700195,0.02095818519592285,0.02518606185913086,-0.05030107498168945,6573
84,84,6,2442871.676163281,2447928.2807276165,2447928.2807276165,2447928.2807251713,2448024.816592762,59.814382882323116,14.108867599710301,5.4099273893253645,0.01,-5153.140429481126,6.800311803817749,0.39809703826904297,0.020601511001586914,0.025197744369506836,-0.04914999008178711,6574
85,85,6,2447859.5111952196,2447928.2807276165,2447928.2807276165,2447928.2807251713,2448283.9002696024,998.0129758585244,9.48530154971655,5.4099273893253645,0.01,-424.3890743828954,6.854759693145752,0.40168118476867676,0.022354841232299805,0.025136947631835938,-0.04955458641052246,6615
86,86,6,2447860.254218693,2447928.2807276165,2447928.2807276165,2447928.2807251713,2448265.513100096,3.191839605104178,9.658895412670926,5.4099273893253645,0.01,-405.2588814030344,6.907494306564331,0.3985283374786377,0.022354841232299805,0.025582313537597656,-0.05043601989746094,6615
87,86,6,2447860.254218693,2447928.2807276165,2447928.2807276165,2447928.2807251713,2448265.513100096,3.191839605104178,9.658895412670926,5.4099273893253645,0.01,-405.2588814030344,6.907494306564331,0.3985283374786377,0.022354841232299805,0.025582313537597656,-0.05043601989746094,6615
