|    | Instance                   |    n |   Estimated LB (Mosek) |   Certified LB (Mosek) |   CPU time (Mosek) | mosek_status   |   PBM It. nbr |   PBM avg. it. time |    overhead |   Certified LB (PBM) |   Progress wrt MOSEK estimated LB (%) |   Progress wrt MOSEK certified LB (%) |          MIPS UB |   Reduction of certified gap (%) |   Reduction of estimated gap (%) |
| 15 | pglib_opf_case2742_goc     | 2742 |       275607           |       275598           |       1322.41      | optimal        |            55 |          1.25104    |   0.0520317 |     275607           |                           0.000111565 |                           0.00345076  |    nan           |                    nan           |                       nan        |
| 16 | pglib_opf_case2746wop_k    | 2746 |            1.20676e+06 |            1.20469e+06 |        216.945     | unknown        |           102 |          1.30631    |   0.614183  |          1.20806e+06 |                           0.107375    |                           0.279225    |      1.20826e+06 |                     94.3799      |                        86.6112   |
| 17 | pglib_opf_case2746wp_k     | 2746 |            1.62822e+06 |            1.62361e+06 |        170.485     | unknown        |           274 |          1.69818    |   2.72929   |          1.63139e+06 |                           0.194591    |                           0.479279    |      1.63171e+06 |                     96.067       |                        90.8637   |
| 18 | pglib_opf_case2848_rte     | 2848 |            1.28496e+06 |            1.28476e+06 |        101.142     | unknown        |           103 |         22.6986     |  23.1156    |          1.28507e+06 |                           0.00900901  |                           0.0243587   |    nan           |                    nan           |                       nan        |
| 19 | pglib_opf_case2853_sdet    | 2853 |            2.03604e+06 |            2.03604e+06 |        194.628     | optimal        |            50 |          1.41123    |   0.362547  |          2.03604e+06 |                          -0.000178772 |                           1.14355e-14 |    nan           |                    nan           |                       nan        |
| 20 | pglib_opf_case2868_rte     | 2868 |            2.00945e+06 |            2.00933e+06 |        100.818     | unknown        |            27 |          3.22509    |   0.863712  |          2.00952e+06 |                           0.00346778  |                           0.00909163  |    nan           |                    nan           |                       nan        |
| 21 | pglib_opf_case2869_pegase  | 2869 |            2.44727e+06 |            2.44645e+06 |        106.29      | unknown        |            88 |          5.36932    |   4.44537   |          2.44793e+06 |                           0.0269406   |                           0.0602273   |      2.45053e+06 |                     36.1404      |                        20.2065   |
| 23 | pglib_opf_case3012wp_k     | 3012 |            2.56486e+06 |            2.54175e+06 |        225.91      | unknown        |           500 |          2.00745    |   4.44303   |          2.57994e+06 |                           0.588086    |                           1.50281     |    nan           |                    nan           |                       nan        |
| 24 | pglib_opf_case3022_goc     | 3022 |       595436           |       595183           |        178.541     | unknown        |           500 |          2.87541    |   8.05251   |     595505           |                           0.011556    |                           0.0541099   |    nan           |                    nan           |                       nan        |
| 27 | pglib_opf_case3120sp_k     | 3120 |            2.13237e+06 |            2.09093e+06 |        268.809     | unknown        |           469 |          1.98588    |   3.46483   |          2.11465e+06 |                          -0.830834    |                           1.13476     |      2.14655e+06 |                     42.6531      |                         0        |
| 28 | pglib_opf_case3375wp_k     | 3375 |            7.40602e+06 |            7.39211e+06 |        418.96      | unknown        |            50 |          5.46222    |   0.651879  |          7.39211e+06 |                          -0.187833    |                           0           |      7.42469e+06 |                      0           |                         0        |
| 29 | pglib_opf_case3970_goc     | 3970 |       960853           |       960741           |       4899.05      | unknown        |            50 |          1.76971    |   0.0180618 |     960741           |                          -0.0116086   |                           0           | 960985           |                      0           |                         0        |
| 32 | pglib_opf_case4601_goc     | 4601 |       826171           |       826110           |       5019.57      | optimal        |            63 |          3.65994    |   0.0459354 |     826216           |                           0.00543351  |                           0.0128023   | 826223           |                     93.4117      |                        85.7509   |
| 33 | pglib_opf_case4837_goc     | 4837 |       871895           |       871883           |        994.245     | unknown        |            71 |          3.43461    |   0.245269  |     871891           |                          -0.000358597 |                           0.000952527 | 872020           |                      6.05958     |                         0        |
| 34 | pglib_opf_case4917_goc     | 4917 |            1.37226e+06 |            1.37153e+06 |        566.209     | unknown        |           500 |          5.99051    |   5.29001   |          1.37239e+06 |                           0.00962883  |                           0.0632842   |      1.38152e+06 |                      8.68258     |                         1.42681  |
| 39 | pglib_opf_case6468_rte     | 6468 |            2.05831e+06 |            2.05267e+06 |        945.758     | unknown        |           500 |         45.8256     |  24.2269    |          2.06084e+06 |                           0.122869    |                           0.397826    |    nan           |                    nan           |                       nan        |
| 40 | pglib_opf_case6470_rte     | 6470 |            2.21458e+06 |            2.21198e+06 |        922.118     | unknown        |           248 |         11.9827     |   3.22271   |          2.21576e+06 |                           0.0532634   |                           0.170822    |    nan           |                    nan           |                       nan        |
| 41 | pglib_opf_case6495_rte     | 6495 |            2.65137e+06 |            2.61727e+06 |        874.62      | unknown        |           500 |         12.5469     |   7.17278   |          2.64956e+06 |                          -0.0682932   |                           1.23375     |    nan           |                    nan           |                       nan        |
| 42 | pglib_opf_case6515_rte     | 6515 |            2.66299e+06 |            2.65224e+06 |        903.147     | unknown        |           500 |         17.6957     |   9.7967    |          2.66667e+06 |                           0.138038    |                           0.543929    |    nan           |                    nan           |                       nan        |
